DAY,Date,Time,Away Team,Home Team
Sun,9/24/2023,1:00 PM,MIN,COL
Mon,9/25/2023,7:00 PM,VGK,COL
Fri,10/1/2023,5:00 PM,DAL,COL
Thu,10/19/2023,8:30 PM,CHI,COL
Sat,10/21/2023,7:00 PM,CAR,COL
Wed,11/1/2023,7:30 PM,STL,COL
Tue,11/7/2023,8:00 PM,NJD,COL
Thu,11/9/2023,7:00 PM,SEA,COL
Sat,11/11/2023,7:00 PM,STL,COL
Wed,11/15/2023,7:00 PM,ANA,COL
Wed,11/22/2023,8:00 PM,VAN,COL
Sat,11/25/2023,8:00 PM,CGY,COL
Mon,11/27/2023,7:00 PM,TBL,COL
Tue,12/5/2023,7:00 PM,ANA,COL
Thu,12/7/2023,7:00 PM,WPG,COL
Sat,12/9/2023,7:00 PM,PHI,COL
Mon,12/11/2023,7:30 PM,CGY,COL
Wed,12/13/2023,8:00 PM,BUF,COL
Sun,12/17/2023,6:00 PM,SJS,COL
Thu,12/21/2023,7:00 PM,OTT,COL
Sat,12/23/2023,7:00 PM,ARI,COL
Sun,12/31/2023,6:00 PM,SJS,COL
Tue,1/2/2024,7:00 PM,NYI,COL
Sat,1/6/2024,2:00 PM,FLA,COL
Mon,1/8/2024,7:00 PM,BOS,COL
Wed,1/10/2024,8:00 PM,VGK,COL
Wed,1/24/2024,7:30 PM,WSH,COL
Fri,1/26/2024,7:00 PM,LAK,COL
Sun,2/18/2024,4:00 PM,ARI,COL
Tue,2/20/2024,7:00 PM,VAN,COL
Sat,2/24/2024,5:00 PM,TOR,COL
Tue,2/27/2024,7:00 PM,DAL,COL
Mon,3/4/2024,7:00 PM,CHI,COL
Wed,3/6/2024,7:30 PM,DET,COL
Fri,3/8/2024,7:00 PM,MIN,COL
Fri,3/22/2024,7:00 PM,CBJ,COL
Sun,3/24/2024,12:00 PM,PIT,COL
Tue,3/26/2024,7:00 PM,MTL,COL
Thu,3/28/2024,7:00 PM,NYR,COL
Sat,3/30/2024,4:00 PM,NSH,COL
Sun,4/7/2024,8:00 PM,DAL,COL
Tue,4/9/2024,7:30 PM,MIN,COL
Sat,4/13/2024,2:00 PM,WPG,COL
Thu,4/18/2024,7:30 PM,EDM,COL
